id,description,fr
search.bookmark.success.notification,Success Notification messages for bookmark advanced search result,Le résultat de votre recherche avancée a été ajouté aux favoris avec succès
search.bookmarkAdvancedSearchModalBody,Modal body for bookmark advacnced search,Un raccourci sera ajouté à la barre latérale pour vous permettre de relancer cette requête de recherche.
search.bookmarkAdvancedSearchModalTitle,Modal title for bookmark advacnced search,Enregistrer la requête de recherche ?
search.informantContact,The rejected reason,Numéro de contact de l'informateur
search.labels.results.eventRegistrationNumber,Label for event registration number in search result list item,"{event, select, birth {B} death {D} marriage {M} divorce {Divorce } other {A}}RN"
search.loadingDeclarations,The text when loading declaration,Chargement des déclarations...
search.locationNotFound,Label for location not found,Emplacement non trouvé
search.noDeclarations,The text when there is no declaration to review,Aucune déclaration à examiner
search.noRecord,The no record text,"Aucun enregistrement {slug, select, draft {dans brouillons} outbox {à traiter} other {{title}}}"
search.noResult,The no result text,Pas de résultats”
search.noResultFor,The no result text,Aucun résultat pour “{param}”
search.noResultForSearchTerm,The no result text,Pas de résultats pour “{searchTerm}”
search.noResults,Text to display if the search return no results for the current filters,Aucun résultat à afficher
search.placeholder,Placeholder text of search input,Nom de la requête
search.quickSearch.result.title,Title for search result page,résultat de la recherche pour “{searchTerm}”
search.removeBbookmarkAdvancedSearchModalBody,Modal body for remove bookmark advacnced search,Ce signet de recherche avancée sera supprimé du raccourci de la barre latérale
search.removeBookmarkAdvancedSearchModalTitle,Modal title for remove bookmark advacnced search,Supprimer la requête de recherche ?
search.results,Results label at the top of the data table component,Résultats
search.searchResultFor,The search result text,résultat de la recherche pour “{param}”
search.searchingFor,The searching for text,Recherche de  “{param}”
search.totalResultText,The total result text,"{total, plural, =0 {} one {# record found} other {# records found}}"
search.waitingForConnection,The text when there is no connectivity,Se reconnecter pour charger les déclarations
searchField.indicators.clearButton,Clear button text,Effacer
searchField.indicators.clearModal.cancel,Cancel button for clear confirmation modal,Annuler
searchField.indicators.clearModal.confirm,Confirm button for clear confirmation modal,Confirmer
searchField.indicators.clearModal.description,Description for the clear confirmation modal,Cela supprimera les résultats de recherche actuels.
searchField.indicators.clearModal.title,Title for the clear confirmation modal,Effacer les résultats de recherche ?
searchField.indicators.confirmButton,Confirm button text,Rechercher
searchField.indicators.httpError,HTTP error indicator,"{statusCode, select, 408{Délai d'attente dépassé} other{Une erreur s'est produite lors de la récupération des données}}"
searchField.indicators.loading,Loading indicator,Recherche en cours...
searchField.indicators.noResultsError,No results found indicator,Aucun enregistrement trouvé
searchField.indicators.offline,Offline indicator,La recherche n'est pas disponible hors ligne
searchField.indicators.ok,OK button text,{count} résultats trouvés
settings.account.tile,Account header,Compte
settings.changeAvatar,Avatar change modal header,Modifier l'image du profil
settings.changeAvatar.changeImage,Change image label,Modifier l'image
settings.changeAvatar.resizeAvatar,Avatar resize and position message,Redimensionnez et positionnez l'image choisie.
settings.changeLanguage,Change language title,Changer de langue
settings.changeLanguage.success,Change language success,Langue mise à jour en Français
settings.changePassword,Password change modal header,Modifier le mot de passe
settings.changePhone,Change phone number title,Changer de numéro de téléphone
settings.message.changeLanguage,Change language message,Votre langue préférée que vous souhaitez utiliser sur OpenCRVS
settings.profile.tile,Profile header,Profil
settings.security.tile,Security header,Sécurité
settings.system.tile,System header,Système
settings.title,Title of the settings page,Paramètres
settings.user.label.assignedOffice,Assigned office,Bureau assigné
settings.user.label.nameBN,,Nom en bengali
settings.user.label.nameEN,,Nom anglais
settings.verifyPhone,Verify phone number title,Vérifier le numéro de téléphone
sysAdHome.config,The title of config tab,Config
sysAdHome.devices,The title of devices tab,Appareils
sysAdHome.network,The title of network tab,Réseau
sysAdHome.offices,The title of offices tab,Bureaux
sysAdHome.overview,The title of overview tab,Vue d'ensemble
sysAdHome.resendInvite,The label for menu option resend invitation,Renvoyer l'invitation
sysAdHome.resendInviteError,The label for error notification of resend invite,L'invitation n'a pas pu être envoyée
sysAdHome.resendInviteSuccess,The label for success notification of resend invite,Invitation envoyée
sysAdHome.resentPasswordError,The label for error notification of reset password sms invite,Le mot de passe temporaire n'a pas pu être envoyé
sysAdHome.resentPasswordSuccess,The label for success notification of reset password sms invite,Mot de passe temporaire envoyé à {username}
sysAdHome.sendUsernameReminderInvite,The label for menu option to send username reminder,Envoyer un rappel de nom d'utilisateur
sysAdHome.sendUsernameReminderInviteError,The label for error notification of send username reminder,Le rappel du nom d'utilisateur n'a pas pu être envoyé
sysAdHome.sendUsernameReminderInviteModalMessage,Message for send username reminder,L'utilisateur recevra un rappel de son nom d'utilisateur par un {deliveryMethod} envoyé à {recipient}.
sysAdHome.sendUsernameReminderInviteModalTitle,Title for send username reminder,Envoyer un rappel de nom d'utilisateur ?
sysAdHome.sendUsernameReminderInviteSuccess,The label for success notification of send username reminder,Rappel de l'identifiant envoyé à {name}
sysAdHome.user.audit.comments,The label for form field deactivate comments,Commentaires :
sysAdHome.user.audit.deactiv.reasonInv,The label for radio option being investigated,Fait l'objet d'une enquête en raison d'une activité suspecte sur son compte
sysAdHome.user.audit.deactiv.reasonNotEmp,The label for radio option not employee,N'est plus un employé
sysAdHome.user.audit.deactivation.subtitle,The subtitle of user deactivation confirmation modal,Cette mesure aura pour effet de retirer à {name} la possibilité de se connecter et d'accéder au système. Le compte peut être réactivé à une date ultérieure.
sysAdHome.user.audit.deactivation.title,The title of user deactivation confirmation modal,Désactiver {name}?
sysAdHome.user.audit.form.error,The label for form error,Une raison est requise pour {auditAction} cet utilisateur.
sysAdHome.user.audit.reactiv.noLongerInv,The label for radio option no longer investigated,Ne fait plus l'objet d'une enquête pour activité suspecte
sysAdHome.user.audit.reactiv.returned,The label for radio option Returned to role,Repris dans leur rôle
sysAdHome.user.audit.reactivation.subtitle,The subtitle of user reactivation confirmation modal,Cela réactivera la capacité de {name} à se connecter et à accéder au système.
sysAdHome.user.audit.reactivation.title,The title of user reactivation confirmation modal,Réactiver {name}?
sysAdHome.user.audit.reason,The label for form field deactivate reason,Veuillez fournir une raison :
sysAdHome.user.audit.reasonOther,The label for radio option other,Autre (veuillez fournir une raison dans les commentaires)
sysAdHome.user.deactivate,Label for toggle menu option deactivate,Désactiver
sysAdHome.user.edit.commonGroupTitle,Common title of form view groups when edit user,Modifier l'utilisateur
sysAdHome.user.header,Title for edit user details,Modifier les détails
sysAdHome.user.reactivate,Label for toggle menu option reactivate,Réactiver
sysAdHome.user.resetPasswordModal.message,Message for reset password modal,L'utilisateur recevra un mot de passe temporaire par {deliveryMethod} envoyé à {recipient}. Il sera ensuite invité à créer un nouveau mot de passe après avoir réussi à se connecter.
sysAdHome.user.resetPasswordModal.title,Title for reset user password modal,Réinitialiser le mot de passe?
sysAdHome.user.resetpassword.title,Title for reset user password,Réinitialiser le mot de passe
sysAdHome.users,The title of users tab,Utilisateurs
system.user.active,Pill label for active user,Actif
system.user.deactivated,Pill label for deactivated user,Désactivé
system.user.disabled,Pill label for disabled user,Handicapés
system.user.duplicateEmailError,This error message shows when user tries to input an already existing email,{email} est déjà utilisé par un autre utilisateur. Veuillez utiliser une autre adresse e-mail
system.user.duplicateMobileError,This error messege shows when user try to input already exsisted mobile number,{number} est déjà utilisé par un autre utilisateur. Veuillez utiliser un autre numéro de téléphone
system.user.newUser,This text will show to create new user button,Nouvel utilisateur
system.user.pending,Pill label for pending user,En attente
system.user.queryError,The text when error ocurred loading system users,Une erreur s'est produite lors du chargement des utilisateurs du système
system.user.settings.avatarUpdated,Profile image change message on success,L'image du profil a été mise à jour avec succès
system.user.settings.avatarUpdating,Profile image message when uploading,Mise à jour de l'image du profil
system.user.settings.emailAddressUpdated,Email change message on success,Adresse e-mail mise à jour
system.user.settings.incorrectPassword,Response message for incorrect password for password change,Le mot de passe actuel est incorrect. Veuillez réessayer.
system.user.settings.incorrectVerifyCode,Response message for incorrect Verify code for phone number change,Code de vérification incorrect. Veuillez réessayer.
system.user.settings.language,,"{language, select, en {English} fr {Français} other {{language}}}"
system.user.settings.name,label for Name,Nom
system.user.settings.passwordUpdated,Password change message on success,Le mot de passe a été changé avec succès
system.user.settings.phonedNumberUpdated,Phone change message on success,Numéro de téléphone mis à jour
system.user.settings.profileImage,Label for profile image,Image de profil
system.user.settings.systemLanguage,Label for system language,Langue du système
system.user.total,User list table header text,{totalUser} utilisateurs
system.user.unlock.pinLabel,Label for entering unlock user profile,Entrez votre NIP
team.header.sysadmin.home,Header for system admin team home page,Rechercher un bureau
team.user.buttons.deactivate,Label for confirmation modal for user deactivation,Désactiver
team.user.buttons.reactivate,Label for confirmation modal for user reactivation,Réactiver
unlockApp.incorrectPin,The message displayed when a user enters an incorrect PIN,Le code est incorrect. Veuillez réessayer
unlockApp.lastTry,The message displayed before the 3rd attempt of an incorrect PIN,Dernier essai
unlockApp.locked,The title displayed while creating a PIN,Votre compte a été verrouillé. Veuillez réessayer dans 1 minute.
user.avatar,,Avatar utilisateur
user.form.buttons.submit,Label for submit button of user creation form,Créer un utilisateur
user.form.securityquestion.answer,,Répondre à
user.form.securityquestion.description,,"Dans les listes déroulantes ci-dessous, sélectionnez des questions qui pourront être utilisées ultérieurement pour confirmer votre identité si vous oubliez votre mot de passe."
user.form.securityquestion.enterResponse,,Entrez une réponse à la question de sécurité que vous avez choisie
user.form.securityquestion.heading,,Définissez vos questions de sécurité
user.form.securityquestion.securityQuestionLabel,,Question de sécurité {count}
user.form.securityquestion.selectSecurityQuestion,,Sélectionnez une question de sécurité
user.form.securityquestion.title,,Questions de sécurité
user.profile.assignedOffice,Title for assigned office field,Bureau assigné
user.profile.audit.column.action,Title for audit action column,Action
user.profile.audit.column.date,Title for audit date column,Date
user.profile.audit.column.deviceIPAddress,Title for audit Device/IP Address column,Dispositif/adresse IP
user.profile.audit.column.eventType,Title for audit event type column,Événement
user.profile.audit.column.trackingId,Title for audit tracking id column,Dossier
user.profile.audit.description.certified,Description for certified declaration,Certifié
user.profile.audit.description.declared,Description for complete declaration,Déclaration initiée
user.profile.audit.description.inProgress,Description for incomplete declaration,Envoyé incomplet
user.profile.audit.description.issued,Description for Issued declaration,Émis
user.profile.audit.description.registered,Description for registered declaration,Enregistré
user.profile.audit.description.rejected,Description for rejected declaration,Rejeté
user.profile.audit.description.updated,Description for updated declaration,Mise à jour de
user.profile.audit.description.validated,Description for validated declaration,Déclaration envoyée pour approbation
user.profile.audit.list.noDataFound,Text for audit list,Aucun audit à afficher
user.profile.auditList.approvedCorrectionAuditAction,Description for record correction being approved,Demande de correction approuvée
user.profile.auditList.archived,Description for declaration archived,Archivé
user.profile.auditList.assigned,Description for declaration assignment,Assigné
user.profile.auditList.corrected,Description for declaration corrected,dossier corrigé
user.profile.auditList.created,Description for created audit action,Créé
user.profile.auditList.download,Description for download audit action,Fichier téléchargé
user.profile.auditList.emailAddressChanged,Description for user change email,L'adresse e-mail a été modifiée
user.profile.auditList.loggedIn,Description for user logged in,Connecté
user.profile.auditList.loggedOut,Description for user logged out,Déconnecté
user.profile.auditList.markedAsDuplicate,Description for marked as duplicate in audit action,Marqué comme duplicata
user.profile.auditList.markedAsNotDuplicate,Description for marked as not duplicate in audit action,Marqué comme non doublon
user.profile.auditList.passwordChanged,Description for user change password,Password changed
user.profile.auditList.passwordReset,Description for User reset password action,Réinitialiser un mot de passe
user.profile.auditList.passwordResetByAdmin,Description for sending temporal password action,Mot de passe envoyé
user.profile.auditList.phoneNumberChanged,Description for user change phoneNumber,Changement de numéro de téléphone
user.profile.auditList.reInstatedToInProgress,Description for sending registration from Reinstated to In progress audit action,Réintégré dans les travaux en cours
user.profile.auditList.reInstatedToInReview,Description for sending registration from Reinstated to In review audit action,Réintégré à pret à l'examen
user.profile.auditList.reInstatedToUpdate,Description for sending registration from Reinstated to require updates audit action,Réintégré pour demander des mises à jour
user.profile.auditList.rejectedCorrectedAuditAction,Description for record correction being rejected,Demande de correction rejetée
user.profile.auditList.requestedCorrectionAuditAction,Description for record correction being requested,Correction demandée
user.profile.auditList.retrieved,Description for declaration retrieved audit action,Récupéré
user.profile.auditList.search,Description for search audit action,Enregistrement recherché
user.profile.auditList.sentForApproval,Description for sending registration for approval audit action,Envoyé pour approbation
user.profile.auditList.showMore,Label for show more link,Afficher le prochain {pageSize} de {totalItems
user.profile.auditList.unAssigned,Description for declaration not assigned to self,Non attribué
user.profile.auditList.userCreated,Description for User created action,Utilisateur créé
user.profile.auditList.userDeactivated,Description for User deactivated,Utilisateur désactivé
user.profile.auditList.userEdited,Description for User edited action,Utilisateur modifié
user.profile.auditList.userReactivated,Description for User reactivated,Mot de passe modifié
user.profile.auditList.usernameReminderByAdmin,Description for send username reminder audit action,Rappel du nom d'utilisateur envoyé
user.profile.auditList.usernameRequested,Description for User username requested audit action,Rappel du nom d'utilisateur demandé
user.profile.auditList.viewed,Description for declaration viewed audit action,Vu
user.profile.nid,Title for nid,Carte d'identité nationale
user.profile.phoneNumber,Title for phoneNumber field,Numéro de téléphone
user.profile.roleType,Title for roleType field,Rôle/Type
user.profile.sectionTitle.audit,Title for audit section,Historique
user.profile.startDate,Title for startDate field,Date de début
user.profile.userName,Title for userName field,Nom d'utilisateur
userSetup.complete.instruction,Instruction for the setup complete,Connectez-vous maintenant à votre compte avec votre nom d'utilisateur et votre mot de passe nouvellement créé.
userSetup.complete.title,Title for the setup complete page,Configuration du compte terminée
userSetup.instruction,User setup review page instruction,Vérifiez les détails ci-dessous pour confirmer que les détails de votre compte sont corrects. et faites les changements nécessaires pour confirmer que les détails de votre compte sont corrects.
userSetup.landing.instruction,Instruction for the account setup langing page,Vous n'êtes plus qu'à quelques étapes de la création de votre compte.
userSetup.landing.title,Title for the landing page,Bienvenue à {applicationName}
userSetup.review.header,User setup review page subtitle,Confirmez vos coordonnées
userSetup.review.title,User setup review page title,Vos coordonnées
userSetup.securityQuestions.birthTown,The description for BIRTH_TOWN key,Dans quelle ville êtes-vous né ?
userSetup.securityQuestions.favoriteFood,The description for FAVORITE_FOOD key,Quel est votre plat préféré ?
userSetup.securityQuestions.favoriteMovie,The description for FAVORITE_MOVIE key,Quel est votre film préféré ?
userSetup.securityQuestions.favoriteSong,The description for FAVORITE_SONG key,Quelle est votre chanson préférée ?
userSetup.securityQuestions.favoriteTeacher,The description for FAVORITE_TEACHER key,Quel est le nom de votre professeur d'école préféré ?
userSetup.securityQuestions.firstChildName,The description for FIRST_CHILD_NAME key,Quel est le nom de votre premier enfant ?
userSetup.securityQuestions.hightSchool,The description for HIGH_SCHOOL key,Quel est le nom de votre école secondaire ?
userSetup.securityQuestions.motherName,The description for MOTHER_NAME key,Quel est le nom de votre mère ?
userSetup.type.healthSystem,The description for health system type,Système de santé
userSetup.type.hospital,The description for HOSPITAL type,Hôpital
userSetup.type.system,The description for system type,Système
userSetup.waiting,The message that displays when the user is waiting for the account to be created,Configuration de votre compte
validate.complete.declaration.action.description,,"En envoyant pour approbation, vous confirmez que la déclaration est prête à être approuvée."
validate.complete.declaration.action.title,,Envoyer pour approbation ou rejeter ?
validate.declaration.action.modal.description,,Cette déclaration sera envoyée pour approbation avant l'enregistrement.
validate.declaration.action.modal.title,,Envoyer pour approbation ?
validations.bengaliOnlyNameFormat,The error message that appears when a non bengali character is used in a Bengali name,Doit contenir uniquement des caractères bengalis
validations.blockAlphaNumericDot,The error message that appears when an invalid value is used,"Ne peut contenir que des caractères d'imprimerie, des chiffres et des points (par exemple, C91.5)."
validations.correctionReason,The error message that appears on reason field on correction form,Veuillez fournir une raison pour cette correction
validations.dateFormat,The error message appears when the given date is not valid,Doit être une date valide
validations.dobEarlierThanDom,The error message appears when the given birth date is later than the given marriage date,Doit être antérieure à la date du mariage
validations.domLaterThanDob,The error message appears when the given marriage date is earlier than the given birth date,Doit être postérieure à la date de naissance
validations.duplicateNationalID,Unique Nid validation,L'identifiant national doit être unique
validations.emailAddressFormat,The error message that appears on email address,Doit être une adresse électronique valide
validations.englishOnlyNameFormat,"The error message that appears when a non English character except numbers, hyphens and underscores is used in an English name","L'entrée contient des caractères non valides. Veuillez n'utiliser que des lettres (a-z, A-Z), des chiffres (0-9), des traits d'union (-), des apostrophes (') et des traits de soulignement (_)"
validations.facilityMustBeSelected,The error message appears when no valid facility is selected,Aucun établissement sélectionné
validations.greaterThanZero,The error message appears when input is less than or equal to 0,Doit être supérieur à zéro
validations.illegalMarriageAge,The error message appears when the birth date is not old enough to register for marriage,Age illègale pour mariage
validations.invalidDate,The error message that appears when a date field is invalid,Champ de date invalide
validations.isAgeInYearsBetween,The error message that appears when a date is outside the valid age range,L'âge doit être compris entre {min} et {max} ans.
validations.isDateNotAfterDeath,The error message appears when the given date of death is not valid,La date doit être antérieure à la date de décès
validations.isDateNotBeforeBirth,The error message appears when the given date of death is not valid,La date doit être postérieure à la date de naissance du défunt
validations.isInformantOfLegalAge,The error message appears when the informant is not old enough to register an event,L'informateur n'est pas majeur
validations.isMoVisitAfterDeath,The error message appears when the given date of visit of medical practitioner is after the death date,La date de visite du médecin ne doit pas être postérieure à la date du décès.
validations.isMoVisitBeforeBirth,The error message appears when the given date of visit of medical practitioner is before the birth date of deceased,La date de la visite du médecin ne doit pas être antérieure à la naissance du défunt.
validations.isValidBirthDate,The error message appears when the given birth date is not valid,Doit être une date de naissance valide
validations.isValidDateOfDeath,The error message appears when the given date of death is not valid,Doit être une date de décès valide
validations.maxLength,The error message that appears on fields with a maximum length,Ne doit pas comporter plus de {max} caractères.
validations.minLength,The error message that appears on fields with a minimum length,Doit comporter {min} caractères ou plus
validations.mobileNumberFormat,The format of the mobile number that appears in an error message,7123456789
validations.mobilePhoneRegex,The regular expression to use when validating a local mobile phone number,"0[0-9]{9,10}"
validations.nonDecimalPointNumber,The error message that appeards when any decimal point number is used,Ne peut pas avoir de nombre à virgule
validations.notGreaterThan,The error message that appears on numeric fields that exceed a limit,Ne doit pas être supérieur à {maxValue}.
validations.numberRequired,The error message that appears on fields where the value must be number,Doit être un nombre
validations.officeMustBeSelected,The error message appears when no valid office is selected,Aucun bureau sélectionné
validations.phoneNumberFormat,The error message that appears on phone numbers where the first character must be a 0,Doit être un nombre valide de  {num} chiffres qui commence par  {start}
validations.range,The error message that appears when an out of range value is used,Doit être compris entre {min} et {max}.
validations.required,The error message that appears on required fields,Requis pour l'enregistrement
validations.requiredBasic,The error message that appears on required fields,Requis
validations.requiredSymbol,A blank error message. Used for highlighting a required field without showing an error,
validations.userform.required,The error message that appears on required fields on new user form,Requis pour l'enregistrement d'un nouvel utilisateur
validations.validBirthRegistrationNumber,The error message that appears when an invalid value is used as brn,Le numéro d'enregistrement de la naissance ne peut être que numérique et doit comporter {validLength} caractères.
validations.validDeathRegistrationNumber,The error message that appears when an invalid value is used as drn,Le numéro d'enregistrement du décès ne peut être qu'alphanumérique et doit comporter {validLength} caractères.
validations.validDrivingLicenseNumber,The error message that appeards when an invalid value is used as driving license number,Le numéro de permis de conduire ne peut être qu'alphanumérique et doit comporter {longueur valide} caractères.
validations.validNationalIDLengths,Nid valid lengths,9
validations.validNationalId,The error message that appears when an invalid value is used as nid,Le numéro d'identification national ne peut être que numérique et doit avoir une longueur de 9 chiffres.
validations.validPassportNumber,The error message that appears when an invalid value is used as passport number,Le numéro de passeport ne peut être qu'alphanumérique et doit comporter {validLength} caractères.
verified,This is the label for the verification field,Vérifié
verifyCertificate.brn,Label for Birth Registration Number,Numéro de régistre de naissance
verifyCertificate.certifiedAt,Label for date of certification,Date de l'émission du certificat de naissance
verifyCertificate.dateOfBirth,Label for date of birth,Date de naissance
verifyCertificate.dateOfDeath,Label for date of death,Date du décès
verifyCertificate.drn,Label for Death Registration Number,Numéro de régistre de décès
verifyCertificate.errorMessage,message for error alert,"Le certificat est un faux potentiel, s'il vous plaît..."
verifyCertificate.errorTitle,title for error alert,Code QR non valide
verifyCertificate.fullname,title for success alert for url validation,Nom et prénom
verifyCertificate.loading,message when verification is checking,Vérification du certificat
verifyCertificate.placeOfBirth,Label for place of birth,Lieu de naissance
verifyCertificate.placeOfDeath,Label for place of death,Lieu du décès
verifyCertificate.registar,Label for name of registar center,Nom de l'officier d'etat civil.
verifyCertificate.registrationCenter,Label for registration center,Centre d'enregistrement
verifyCertificate.sex,Label for sex,Sexe
verifyCertificate.sexFemale,Option for form field: Sex name,Femme
verifyCertificate.sexMale,Option for form field: Sex name,Homme
verifyCertificate.successMessage,message for success alert,Comparez les données partielles de l'enregistrement ci-dessous avec celles qui figurent sur le certificat.
verifyCertificate.successTitle,title for success alert,Code QR valide
verifyCertificate.successUrl,title for success alert for url validation,Vérification des URL
verifyCertificate.timeOut,message when time out after few minute,Délais expirée
verifyCertificate.toastMessage,Message for the toast when time spend 1 minute,"Après avoir vérifié le certificat, veuillez fermer la fenêtre du navigateur."
views.idReader.label.manualInput,Label that shows below the divider on the id reader component,Remplissez les champs ci-dessous
views.idReader.label.or,Label that shows on the divider,Ou
views.idVerification.banner.actions.reset,,Réinitialiser
views.idVerification.banner.actions.revoke,,Révoquer
views.idVerification.banner.authenticated.description,,Cette identité a été authentifiée avec succès avec le système national d'identité de Farajaland.
views.idVerification.banner.authenticated.resetConfirmation.description,,"En cliquant sur «Continuer», vous supprimerez l'état authentifié de l'ID et déverrouillez les champs pour l'édition."
views.idVerification.banner.authenticated.resetConfirmation.title,,Révoquer une pièce d'identité authentifiée?
views.idVerification.banner.authenticated.title,,ID authentifié
views.idVerification.banner.failed.description,,Les données d'identité ne correspondent pas à une entrée du système national d'identification du Farajaland.
views.idVerification.banner.failed.resetConfirmation.description,,"En cliquant sur «Continuer», vous effacerez toutes les informations de son état par défaut."
views.idVerification.banner.failed.resetConfirmation.title,,Réinitialiser les informations?
views.idVerification.banner.failed.title,,La vérification d'identification a échoué
views.idVerification.banner.failedFetchIdDetails.description,,Nous n'avons pas pu récupérer les détails des individus du système d'identification nationale. Veuillez réessayer.
views.idVerification.banner.failedFetchIdDetails.title,,Échec de la récupération des détails des individus
views.idVerification.banner.verified.description,,Ces données d'identité ont été vérifiées avec succès avec le système national d'identification de Farajaland.
views.idVerification.banner.verified.resetConfirmation.description,,"En cliquant sur «Continuer», vous supprimerez l'état de l'ID vérifié et déverrouillez les champs pour l'édition."
views.idVerification.banner.verified.resetConfirmation.title,,Révoquer une pièce d'identité valide?
views.idVerification.banner.verified.title,,Id vérifié
views.qrReader.button,Button to scan QR code,Scanner le code QR
views.qrReader.scannerDialogSupportingCopy,Supporting copy for the scanner dialog,Placez la carte d'identité du notificateur devant la caméra.
views.qrReader.tutorial.cameraCleanliness,Camera cleanliness tutorial,Assurez-vous que votre appareil photo est propre et fonctionnel.
views.qrReader.tutorial.distance,Distance tutorial,Tenez l'appareil régulièrement à 6 à 12 pouces du code QR.
views.qrReader.tutorial.lightBalance,Light balance tutorial,Assurez-vous que le code QR est bien éclairé et non endommagé ou flou.
workqueues.dateOfEvent,Label for workqueue column: dateOfEvent,Date de l'événement
workqueues.draft.title,Title of draft workqueue,Brouillons
workqueues.outbox.title,Title of outbox workqueue,Boîte d'envoi
wq.noRecords.draft,No records messages for empty draft tab,Aucun enregistrement dans mes brouillons
wq.noRecords.externalValidation,No records messages for empty external validation tab,Aucun enregistrement dans la validation externe
wq.noRecords.fieldAgents,No records messages for empty field agents tab,Aucun enregistrement des agents de terrain
wq.noRecords.healthSystem,No records messages for empty health system tab,Aucun dossier du système de santé
wq.noRecords.readyForReview,No records messages for ready for review tab,Aucun document prêt à être examiné
wq.noRecords.readyToIssue,No records messages for ready to issue tab,Aucun document prêt à être délivré
wq.noRecords.readyToPrint,No records messages for ready to print tab,Aucun document prêt à être imprimé
wq.noRecords.requiresUpdate,No records messages for require updates tab,Aucun document ne nécessite de mise à jour
wq.noRecords.sentForApproval,No records messages for sent for approval tab,Aucun document envoyé pour approbation
wq.noRecords.sentForReview,No records messages for sent for review tab,Aucun document envoyé pour examen
